two_theta_deg,intensity
5.000000000000000000e+00,1.028800000253950429e+03
5.019999999999999574e+00,1.031363232643768470e+03
5.039999999999999147e+00,1.033936360032002995e+03
5.059999999999998721e+00,1.036519434384788156e+03
5.079999999999998295e+00,1.039112508013899287e+03
5.099999999999997868e+00,1.041715633579537780e+03
5.119999999999997442e+00,1.044328864093140965e+03
5.139999999999997016e+00,1.046952252920219735e+03
5.159999999999996589e+00,1.049585853783221410e+03
5.179999999999996163e+00,1.052229720764422154e+03
5.199999999999995737e+00,1.054883908308846230e+03
5.219999999999995310e+00,1.057548471227209575e+03
5.239999999999994884e+00,1.060223464698897715e+03
5.259999999999994458e+00,1.062908944274966871e+03
5.279999999999994031e+00,1.065604965881175985e+03
5.299999999999993605e+00,1.068311585821049221e+03
5.319999999999993179e+00,1.071028860778963917e+03
5.339999999999992752e+00,1.073756847823270846e+03
5.359999999999992326e+00,1.076495604409446059e+03
5.379999999999991900e+00,1.079245188383268896e+03
5.399999999999991473e+00,1.082005657984034542e+03
5.419999999999991047e+00,1.084777071847793877e+03
5.439999999999990621e+00,1.087559489010630614e+03
5.459999999999990195e+00,1.090352968911962762e+03
5.479999999999989768e+00,1.093157571397880702e+03
5.499999999999989342e+00,1.095973356724518680e+03
5.519999999999988916e+00,1.098800385561455187e+03
5.539999999999988489e+00,1.101638718995148338e+03
5.559999999999988063e+00,1.104488418532407422e+03
5.579999999999987637e+00,1.107349546103893090e+03
5.599999999999987210e+00,1.110222164067656877e+03
5.619999999999986784e+00,1.113106335212711883e+03
5.639999999999986358e+00,1.116002122762639374e+03
5.659999999999985931e+00,1.118909590379233805e+03
5.679999999999985505e+00,1.121828802166178775e+03
5.699999999999985079e+00,1.124759822672762084e+03
5.719999999999984652e+00,1.127702716897628761e+03
5.739999999999984226e+00,1.130657550292566839e+03
5.759999999999983800e+00,1.133624388766336324e+03
5.779999999999983373e+00,1.136603298688530231e+03
5.799999999999982947e+00,1.139594346893479724e+03
5.819999999999982521e+00,1.142597600684192457e+03
5.839999999999982094e+00,1.145613127836335252e+03
5.859999999999981668e+00,1.148640996602253608e+03
5.879999999999981242e+00,1.151681275715030552e+03
5.899999999999980815e+00,1.154734034392589137e+03
5.919999999999980389e+00,1.157799342341834972e+03
5.939999999999979963e+00,1.160877269762836704e+03
5.959999999999979536e+00,1.163967887353055858e+03
5.979999999999979110e+00,1.167071266311612362e+03
5.999999999999978684e+00,1.170187478343595103e+03
6.019999999999978257e+00,1.173316595664419083e+03
6.039999999999977831e+00,1.176458691004221464e+03
6.059999999999977405e+00,1.179613837612308998e+03
6.079999999999976978e+00,1.182782109261640016e+03
6.099999999999976552e+00,1.185963580253364626e+03
6.119999999999976126e+00,1.189158325421401287e+03
6.139999999999975699e+00,1.192366420137064097e+03
6.159999999999975273e+00,1.195587940313737363e+03
