two_theta_deg,intensity
2.000000000000000000e+01,1.288964349588414109e+02
2.001999999999999957e+01,1.290984222593440336e+02
2.003999999999999915e+01,1.293009008235251827e+02
2.005999999999999872e+01,1.295038722752703393e+02
2.007999999999999829e+01,1.297073382452549595e+02
2.009999999999999787e+01,1.299113003709788359e+02
2.011999999999999744e+01,1.301157602968007154e+02
2.013999999999999702e+01,1.303207196739730023e+02
2.015999999999999659e+01,1.305261801606766312e+02
2.017999999999999616e+01,1.307321434220565379e+02
2.019999999999999574e+01,1.309386111302566462e+02
2.021999999999999531e+01,1.311455849644557929e+02
2.023999999999999488e+01,1.313530666109033120e+02
2.025999999999999446e+01,1.315610577629551869e+02
2.027999999999999403e+01,1.317695601211102883e+02
2.029999999999999361e+01,1.319785753930466967e+02
2.031999999999999318e+01,1.321881052936584524e+02
2.033999999999999275e+01,1.323981515450925883e+02
2.035999999999999233e+01,1.326087158767859364e+02
2.037999999999999190e+01,1.328198000255026727e+02
2.039999999999999147e+01,1.330314057353719193e+02
2.041999999999999105e+01,1.332435347579254028e+02
2.043999999999999062e+01,1.334561888521354263e+02
2.045999999999999019e+01,1.336693697844533233e+02
2.047999999999998977e+01,1.338830793288477139e+02
2.049999999999998934e+01,1.340973192668433001e+02
2.051999999999998892e+01,1.343120913875598887e+02
2.053999999999998849e+01,1.345273974877513012e+02
2.055999999999998806e+01,1.347432393718451351e+02
2.057999999999998764e+01,1.349596188519821851e+02
2.059999999999998721e+01,1.351765377480564041e+02
2.061999999999998678e+01,1.353939978877548924e+02
2.063999999999998636e+01,1.356120011065986262e+02
2.065999999999998593e+01,1.358305492479826739e+02
2.067999999999998550e+01,1.360496441632172946e+02
2.069999999999998508e+01,1.362692877115690635e+02
2.071999999999998465e+01,1.364894817603021409e+02
2.073999999999998423e+01,1.367102281847199663e+02
2.075999999999998380e+01,1.369315288682070957e+02
2.077999999999998337e+01,1.371533857022713505e+02
2.079999999999998295e+01,1.373758005865861662e+02
2.081999999999998252e+01,1.375987754290332816e+02
2.083999999999998209e+01,1.378223121457457978e+02
2.085999999999998167e+01,1.380464126611510096e+02
2.087999999999998124e+01,1.382710789080141183e+02
2.089999999999998082e+01,1.384963128274818303e+02
2.091999999999998039e+01,1.387221163691263826e+02
2.093999999999997996e+01,1.389484914909897668e+02
2.095999999999997954e+01,1.391754401596282662e+02
2.097999999999997911e+01,1.394029643501571627e+02
2.099999999999997868e+01,1.396310660462959277e+02
2.101999999999997826e+01,1.398597472404134976e+02
2.103999999999997783e+01,1.400890099335738910e+02
2.105999999999997740e+01,1.403188561355822799e+02
2.107999999999997698e+01,1.405492878650308910e+02
2.109999999999997655e+01,1.407803071493457594e+02
2.111999999999997613e+01,1.410119160248333685e+02
2.113999999999997570e+01,1.412441165367276881e+02
2.115999999999997527e+01,1.414769107392377236e+02
2.117999999999997485e+01,1.417103006955948103e+02
2.119999999999997442e+01,1.419442884781009582e+02
2.121999999999997399e+01,1.421788761681768563e+02
2.123999999999997357e+01,1.424140658564104456e+02
2.125999999999997314e+01,1.426498596426058043e+02
2.127999999999997272e+01,1.428862596358323458e+02
2.129999999999997229e+01,1.431232679544741586e+02
2.131999999999997186e+01,1.433608867262799720e+02
2.133999999999997144e+01,1.435991180884129790e+02
2.135999999999997101e+01,1.438379641875014556e+02
2.137999999999997058e+01,1.440774271796894936e+02
2.139999999999997016e+01,1.443175092306877616e+02
2.141999999999996973e+01,1.445582125158252325e+02
2.143999999999996930e+01,1.447995392201005416e+02
2.145999999999996888e+01,1.450414915382342542e+02
2.147999999999996845e+01,1.452840716747209342e+02
2.149999999999996803e+01,1.455272818438821503e+02
2.151999999999996760e+01,1.457711242699190279e+02
2.153999999999996717e+01,1.460156011869661086e+02
2.155999999999996675e+01,1.462607148391445833e+02
2.157999999999996632e+01,1.465064674806164078e+02
2.159999999999996589e+01,1.467528613756389291e+02
2.161999999999996547e+01,1.469998987986191707e+02
2.163999999999996504e+01,1.472475820341692554e+02
2.165999999999996461e+01,1.474959133771615711e+02
2.167999999999996419e+01,1.477448951327844497e+02
2.169999999999996376e+01,1.479945296165987259e+02
2.171999999999996334e+01,1.482448191545936140e+02
2.173999999999996291e+01,1.484957660832439501e+02
2.175999999999996248e+01,1.487473727495672335e+02
2.177999999999996206e+01,1.489996415111811245e+02
2.179999999999996163e+01,1.492525747363614812e+02
2.181999999999996120e+01,1.495061748041006808e+02
2.183999999999996078e+01,1.497604441041661687e+02
2.185999999999996035e+01,1.500153850371595468e+02
2.187999999999995993e+01,1.502710000145760318e+02
2.189999999999995950e+01,1.505272914588642550e+02
2.191999999999995907e+01,1.507842618034864870e+02
2.193999999999995865e+01,1.510419134929792051e+02
2.195999999999995822e+01,1.513002489830139439e+02
2.197999999999995779e+01,1.515592707404588566e+02
2.199999999999995737e+01,1.518189812434404757e+02
2.201999999999995694e+01,1.520793829814056437e+02
2.203999999999995651e+01,1.523404784551843534e+02
2.205999999999995609e+01,1.526022701770525600e+02
2.207999999999995566e+01,1.528647606707957323e+02
2.209999999999995524e+01,1.531279524717723746e+02
2.211999999999995481e+01,1.533918481269784877e+02
2.213999999999995438e+01,1.536564501951121429e+02
2.215999999999995396e+01,1.539217612466384537e+02
2.217999999999995353e+01,1.541877838638550884e+02
2.219999999999995310e+01,1.544545206409582647e+02
2.221999999999995268e+01,1.547219741841088023e+02
2.223999999999995225e+01,1.549901471114993967e+02
2.225999999999995183e+01,1.552590420534212399e+02
2.227999999999995140e+01,1.555286616523321470e+02
2.229999999999995097e+01,1.557990085629243424e+02
2.231999999999995055e+01,1.560700854521930694e+02
2.233999999999995012e+01,1.563418949995057119e+02
2.235999999999994969e+01,1.566144398966710582e+02
2.237999999999994927e+01,1.568877228480093606e+02
2.239999999999994884e+01,1.571617465704224799e+02
2.241999999999994841e+01,1.574365137934649113e+02
2.243999999999994799e+01,1.577120272594150947e+02
2.245999999999994756e+01,1.579882897233468952e+02
2.247999999999994714e+01,1.582653039532022490e+02
2.249999999999994671e+01,1.585430727298635531e+02
2.251999999999994628e+01,1.588215988472269942e+02
2.253999999999994586e+01,1.591008851122762167e+02
2.255999999999994543e+01,1.593809343451566178e+02
2.257999999999994500e+01,1.596617493792497271e+02
2.259999999999994458e+01,1.599433330612487794e+02
2.261999999999994415e+01,1.602256882512339189e+02
2.263999999999994373e+01,1.605088178227487674e+02
2.265999999999994330e+01,1.607927246628769069e+02
2.267999999999994287e+01,1.610774116723191582e+02
2.269999999999994245e+01,1.613628817654712009e+02
2.271999999999994202e+01,1.616491378705018178e+02
2.273999999999994159e+01,1.619361829294318511e+02
2.275999999999994117e+01,1.622240198982131574e+02
2.277999999999994074e+01,1.625126517468086718e+02
2.279999999999994031e+01,1.628020814592726424e+02
2.281999999999993989e+01,1.630923120338316039e+02
2.283999999999993946e+01,1.633833464829658055e+02
2.285999999999993904e+01,1.636751878334911510e+02
2.287999999999993861e+01,1.639678391266417066e+02
2.289999999999993818e+01,1.642613034181529201e+02
2.291999999999993776e+01,1.645555837783452660e+02
2.293999999999993733e+01,1.648506832922083447e+02
2.295999999999993690e+01,1.651466050594858359e+02
2.297999999999993648e+01,1.654433521947608483e+02
2.299999999999993605e+01,1.657409278275417819e+02
2.301999999999993562e+01,1.660393351023488435e+02
2.303999999999993520e+01,1.663385771788015006e+02
2.305999999999993477e+01,1.666386572317057357e+02
2.307999999999993435e+01,1.669395784511427507e+02
2.309999999999993392e+01,1.672413440425575857e+02
2.311999999999993349e+01,1.675439572268489314e+02
2.313999999999993307e+01,1.678474212404591412e+02
2.315999999999993264e+01,1.681517393354649244e+02
2.317999999999993221e+01,1.684569147796688355e+02
2.319999999999993179e+01,1.687629508566913046e+02
2.321999999999993136e+01,1.690698508660630921e+02
2.323999999999993094e+01,1.693776181233188822e+02
2.325999999999993051e+01,1.696862559600908469e+02
2.327999999999993008e+01,1.699957677242036027e+02
2.329999999999992966e+01,1.703061567797689690e+02
2.331999999999992923e+01,1.706174265072823175e+02
2.333999999999992880e+01,1.709295803037188080e+02
2.335999999999992838e+01,1.712426215826305906e+02
2.337999999999992795e+01,1.715565537742449749e+02
2.339999999999992752e+01,1.718713803255625976e+02
2.341999999999992710e+01,1.721871047004570414e+02
2.343999999999992667e+01,1.725037303797744812e+02
2.345999999999992625e+01,1.728212608614344106e+02
2.347999999999992582e+01,1.731396996605310221e+02
2.349999999999992539e+01,1.734590503094351845e+02
2.351999999999992497e+01,1.737793163578971303e+02
2.353999999999992454e+01,1.741005013731501379e+02
2.355999999999992411e+01,1.744226089400144133e+02
2.357999999999992369e+01,1.747456426610022788e+02
2.359999999999992326e+01,1.750696061564235606e+02
2.361999999999992284e+01,1.753945030644922554e+02
2.363999999999992241e+01,1.757203370414334245e+02
2.365999999999992198e+01,1.760471117615913101e+02
2.367999999999992156e+01,1.763748309175377074e+02
2.369999999999992113e+01,1.767034982201815865e+02
2.371999999999992070e+01,1.770331173988792273e+02
2.373999999999992028e+01,1.773636922015452342e+02
2.375999999999991985e+01,1.776952263947640063e+02
2.377999999999991942e+01,1.780277237639026851e+02
2.379999999999991900e+01,1.783611881132241592e+02
2.381999999999991857e+01,1.786956232660013768e+02
2.383999999999991815e+01,1.790310330646321404e+02
2.385999999999991772e+01,1.793674213707549825e+02
2.387999999999991729e+01,1.797047920653657513e+02
2.389999999999991687e+01,1.800431490489348221e+02
2.391999999999991644e+01,1.803824962415256152e+02
2.393999999999991601e+01,1.807228375829136553e+02
2.395999999999991559e+01,1.810641770327060840e+02
2.397999999999991516e+01,1.814065185704630494e+02
2.399999999999991473e+01,1.817498661958190951e+02
2.401999999999991431e+01,1.820942239286055440e+02
2.403999999999991388e+01,1.824395958089739906e+02
2.405999999999991346e+01,1.827859858975208738e+02
2.407999999999991303e+01,1.831333982754122758e+02
2.409999999999991260e+01,1.834818370445101721e+02
2.411999999999991218e+01,1.838313063274993908e+02
2.413999999999991175e+01,1.841818102680155391e+02
2.415999999999991132e+01,1.845333530307738101e+02
2.417999999999991090e+01,1.848859388016988419e+02
2.419999999999991047e+01,1.852395717880551445e+02
2.421999999999991005e+01,1.855942562185790621e+02
