two_theta_deg,intensity
2.000000000000000000e+01,8.063339633430271351e+04
2.001999999999999957e+01,5.551342072186128644e+04
2.003999999999999915e+01,8.909204631022195099e+04
2.005999999999999872e+01,9.270992073949804762e+04
2.007999999999999829e+01,3.860462477706830396e+04
2.009999999999999787e+01,5.080982554302805511e+04
2.011999999999999744e+01,7.765560509144363459e+04
2.013999999999999702e+01,6.938900573444578913e+04
2.015999999999999659e+01,7.505566674458456691e+04
2.017999999999999616e+01,5.943463305350701557e+04
2.019999999999999574e+01,9.196860463371819060e+04
2.021999999999999531e+01,9.012104895737666811e+04
2.023999999999999488e+01,7.682959740032807167e+04
2.025999999999999446e+01,9.679077881863660878e+04
2.027999999999999403e+01,8.447227456098144467e+04
2.029999999999999361e+01,5.963331407081161888e+04
2.031999999999999318e+01,8.273196955454874842e+04
2.033999999999999275e+01,5.786933272416271211e+04
2.035999999999999233e+01,9.241266403008124325e+04
2.037999999999999190e+01,7.503989061501334072e+04
2.039999999999999147e+01,7.256102630197716644e+04
2.041999999999999105e+01,6.329894030963220575e+04
2.043999999999999062e+01,9.910691312758358254e+04
2.045999999999999019e+01,7.329467318035244534e+04
2.047999999999998977e+01,6.820471841211822175e+04
2.049999999999998934e+01,6.969049566096381750e+04
2.051999999999998892e+01,8.636831018331441737e+04
2.053999999999998849e+01,8.328814856496831635e+04
2.055999999999998806e+01,8.423342670189792989e+04
2.057999999999998764e+01,8.462988334561650117e+04
2.059999999999998721e+01,1.168623863080737065e+05
2.061999999999998678e+01,6.899396089408294938e+04
2.063999999999998636e+01,6.705691852283262415e+04
2.065999999999998593e+01,6.143690174869649491e+04
2.067999999999998550e+01,8.839614533751469571e+04
2.069999999999998508e+01,9.810853217359395057e+04
2.071999999999998465e+01,7.476914307853896753e+04
2.073999999999998423e+01,6.115101525228050014e+04
2.075999999999998380e+01,6.149881829670442676e+04
2.077999999999998337e+01,8.933235746712140099e+04
2.079999999999998295e+01,9.113471455434458039e+04
2.081999999999998252e+01,8.742217119124194141e+04
2.083999999999998209e+01,6.470484645623483812e+04
2.085999999999998167e+01,8.167469899440273002e+04
2.087999999999998124e+01,7.955391771395964315e+04
2.089999999999998082e+01,8.153213135162621620e+04
2.091999999999998039e+01,9.389444108649065311e+04
2.093999999999997996e+01,8.173596111146642943e+04
2.095999999999997954e+01,9.037874053108814405e+04
2.097999999999997911e+01,7.890439898388025176e+04
2.099999999999997868e+01,8.313903493083752983e+04
2.101999999999997826e+01,8.965099697500595357e+04
