two_theta_deg,intensity
2.000000000000000000e+01,2.252418653064629694e+01
2.001999999999999957e+01,2.255910325387249316e+01
2.003999999999999915e+01,2.259410320251753390e+01
2.005999999999999872e+01,2.262918664429107807e+01
2.007999999999999829e+01,2.266435384798580088e+01
2.009999999999999787e+01,2.269960508348266259e+01
2.011999999999999744e+01,2.273494062175622332e+01
2.013999999999999702e+01,2.277036073487997925e+01
2.015999999999999659e+01,2.280586569603172364e+01
2.017999999999999616e+01,2.284145577949896122e+01
2.019999999999999574e+01,2.287713126068430469e+01
2.021999999999999531e+01,2.291289241611094596e+01
2.023999999999999488e+01,2.294873952342816281e+01
2.025999999999999446e+01,2.298467286141682209e+01
2.027999999999999403e+01,2.302069270999492190e+01
2.029999999999999361e+01,2.305679935022321203e+01
2.031999999999999318e+01,2.309299306431077525e+01
2.033999999999999275e+01,2.312927413562068324e+01
2.035999999999999233e+01,2.316564284867570578e+01
2.037999999999999190e+01,2.320209948916398446e+01
2.039999999999999147e+01,2.323864434394481648e+01
2.041999999999999105e+01,2.327527770105438520e+01
2.043999999999999062e+01,2.331199984971164341e+01
2.045999999999999019e+01,2.334881108032410069e+01
2.047999999999998977e+01,2.338571168449372095e+01
2.049999999999998934e+01,2.342270195502286612e+01
2.051999999999998892e+01,2.345978218592018649e+01
2.053999999999998849e+01,2.349695267240667107e+01
2.055999999999998806e+01,2.353421371092160896e+01
2.057999999999998764e+01,2.357156559912868943e+01
2.059999999999998721e+01,2.360900863592204502e+01
2.061999999999998678e+01,2.364654312143241199e+01
2.063999999999998636e+01,2.368416935703327297e+01
2.065999999999998593e+01,2.372188764534704219e+01
2.067999999999998550e+01,2.375969829025133961e+01
2.069999999999998508e+01,2.379760159688520105e+01
2.071999999999998465e+01,2.383559787165541266e+01
2.073999999999998423e+01,2.387368742224285967e+01
2.075999999999998380e+01,2.391187055760888214e+01
2.077999999999998337e+01,2.395014758800170540e+01
2.079999999999998295e+01,2.398851882496289178e+01
2.081999999999998252e+01,2.402698458133383141e+01
2.083999999999998209e+01,2.406554517126226145e+01
2.085999999999998167e+01,2.410420091020884215e+01
2.087999999999998124e+01,2.414295211495377202e+01
2.089999999999998082e+01,2.418179910360339946e+01
2.091999999999998039e+01,2.422074219559695507e+01
2.093999999999997996e+01,2.425978171171322728e+01
2.095999999999997954e+01,2.429891797407735510e+01
2.097999999999997911e+01,2.433815130616761735e+01
2.099999999999997868e+01,2.437748203282229298e+01
2.101999999999997826e+01,2.441691048024651778e+01
2.103999999999997783e+01,2.445643697601922639e+01
2.105999999999997740e+01,2.449606184910011564e+01
2.107999999999997698e+01,2.453578542983665045e+01
2.109999999999997655e+01,2.457560804997110182e+01
2.111999999999997613e+01,2.461553004264765576e+01
2.113999999999997570e+01,2.465555174241951875e+01
2.115999999999997527e+01,2.469567348525612260e+01
2.117999999999997485e+01,2.473589560855031877e+01
2.119999999999997442e+01,2.477621845112565779e+01
2.121999999999997399e+01,2.481664235324364753e+01
2.123999999999997357e+01,2.485716765661117833e+01
2.125999999999997314e+01,2.489779470438783449e+01
2.127999999999997272e+01,2.493852384119337628e+01
2.129999999999997229e+01,2.497935541311520424e+01
2.131999999999997186e+01,2.502028976771589797e+01
2.133999999999997144e+01,2.506132725404074080e+01
2.135999999999997101e+01,2.510246822262539723e+01
2.137999999999997058e+01,2.514371302550353349e+01
2.139999999999997016e+01,2.518506201621451979e+01
2.141999999999996973e+01,2.522651554981122501e+01
2.143999999999996930e+01,2.526807398286775097e+01
2.145999999999996888e+01,2.530973767348734782e+01
2.147999999999996845e+01,2.535150698131025493e+01
2.149999999999996803e+01,2.539338226752167316e+01
2.151999999999996760e+01,2.543536389485972649e+01
2.153999999999996717e+01,2.547745222762354800e+01
2.155999999999996675e+01,2.551964763168129835e+01
2.157999999999996632e+01,2.556195047447835833e+01
2.159999999999996589e+01,2.560436112504549655e+01
2.161999999999996547e+01,2.564687995400708331e+01
2.163999999999996504e+01,2.568950733358939331e+01
2.165999999999996461e+01,2.573224363762894740e+01
2.167999999999996419e+01,2.577508924158087567e+01
2.169999999999996376e+01,2.581804452252738713e+01
2.171999999999996334e+01,2.586110985918620386e+01
2.173999999999996291e+01,2.590428563191915146e+01
2.175999999999996248e+01,2.594757222274073882e+01
2.177999999999996206e+01,2.599097001532676998e+01
2.179999999999996163e+01,2.603447939502308728e+01
2.181999999999996120e+01,2.607810074885428975e+01
2.183999999999996078e+01,2.612183446553255095e+01
2.185999999999996035e+01,2.616568093546646168e+01
2.187999999999995993e+01,2.620964055076996857e+01
2.189999999999995950e+01,2.625371370527130566e+01
2.191999999999995907e+01,2.629790079452205376e+01
2.193999999999995865e+01,2.634220221580618571e+01
2.195999999999995822e+01,2.638661836814921102e+01
2.197999999999995779e+01,2.643114965232737035e+01
2.199999999999995737e+01,2.647579647087688315e+01
2.201999999999995694e+01,2.652055922810323452e+01
2.203999999999995651e+01,2.656543833009056499e+01
2.205999999999995609e+01,2.661043418471104260e+01
2.207999999999995566e+01,2.665554720163438418e+01
2.209999999999995524e+01,2.670077779233738724e+01
2.211999999999995481e+01,2.674612637011348326e+01
2.213999999999995438e+01,2.679159335008244369e+01
2.215999999999995396e+01,2.683717914920005043e+01
2.217999999999995353e+01,2.688288418626791909e+01
2.219999999999995310e+01,2.692870888194327961e+01
2.221999999999995268e+01,2.697465365874890608e+01
2.223999999999995225e+01,2.702071894108307859e+01
2.225999999999995183e+01,2.706690515522957696e+01
2.227999999999995140e+01,2.711321272936779181e+01
2.229999999999995097e+01,2.715964209358286041e+01
2.231999999999995055e+01,2.720619367987586301e+01
2.233999999999995012e+01,2.725286792217411858e+01
2.235999999999994969e+01,2.729966525634150898e+01
2.237999999999994927e+01,2.734658612018887780e+01
2.239999999999994884e+01,2.739363095348451793e+01
2.241999999999994841e+01,2.744080019796468406e+01
2.243999999999994799e+01,2.748809429734420462e+01
2.245999999999994756e+01,2.753551369732714349e+01
2.247999999999994714e+01,2.758305884561753629e+01
2.249999999999994671e+01,2.763073019193018709e+01
2.251999999999994628e+01,2.767852818800155745e+01
2.253999999999994586e+01,2.772645328760067329e+01
2.255999999999994543e+01,2.777450594654015958e+01
2.257999999999994500e+01,2.782268662268730353e+01
2.259999999999994458e+01,2.787099577597521005e+01
2.261999999999994415e+01,2.791943386841401775e+01
2.263999999999994373e+01,2.796800136410218229e+01
2.265999999999994330e+01,2.801669872923784155e+01
2.267999999999994287e+01,2.806552643213026244e+01
2.269999999999994245e+01,2.811448494321131975e+01
2.271999999999994202e+01,2.816357473504710285e+01
2.273999999999994159e+01,2.821279628234954728e+01
2.275999999999994117e+01,2.826215006198817647e+01
2.277999999999994074e+01,2.831163655300191095e+01
